Date_YMD,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased,date
2020-01-30,1,1,0,0,0,0,2020-01-30
2020-01-31,0,1,0,0,0,0,2020-01-31
2020-02-01,0,1,0,0,0,0,2020-02-01
2020-02-02,1,2,0,0,0,0,2020-02-02
2020-02-03,1,3,0,0,0,0,2020-02-03
2020-02-04,0,3,0,0,0,0,2020-02-04
2020-02-05,0,3,0,0,0,0,2020-02-05
2020-02-06,0,3,0,0,0,0,2020-02-06
2020-02-07,0,3,0,0,0,0,2020-02-07
2020-02-08,0,3,0,0,0,0,2020-02-08
2020-02-09,0,3,0,0,0,0,2020-02-09
2020-02-10,0,3,0,0,0,0,2020-02-10
2020-02-11,0,3,0,0,0,0,2020-02-11
2020-02-12,0,3,0,0,0,0,2020-02-12
2020-02-13,0,3,1,1,0,0,2020-02-13
2020-02-14,0,3,0,1,0,0,2020-02-14
2020-02-15,0,3,0,1,0,0,2020-02-15
2020-02-16,0,3,1,2,0,0,2020-02-16
2020-02-17,0,3,0,2,0,0,2020-02-17
2020-02-18,0,3,0,2,0,0,2020-02-18
2020-02-19,0,3,0,2,0,0,2020-02-19
2020-02-20,0,3,1,3,0,0,2020-02-20
2020-02-21,0,3,0,3,0,0,2020-02-21
2020-02-22,0,3,0,3,0,0,2020-02-22
2020-02-23,0,3,0,3,0,0,2020-02-23
2020-02-24,0,3,0,3,0,0,2020-02-24
2020-02-25,0,3,0,3,0,0,2020-02-25
2020-02-26,0,3,0,3,0,0,2020-02-26
2020-02-27,0,3,0,3,0,0,2020-02-27
2020-02-28,0,3,0,3,0,0,2020-02-28
2020-02-29,0,3,0,3,0,0,2020-02-29
2020-03-01,0,3,0,3,0,0,2020-03-01
2020-03-02,2,5,0,3,0,0,2020-03-02
2020-03-03,1,6,0,3,0,0,2020-03-03
2020-03-04,22,28,0,3,0,0,2020-03-04
2020-03-05,2,30,0,3,0,0,2020-03-05
2020-03-06,1,31,0,3,0,0,2020-03-06
2020-03-07,3,34,0,3,0,0,2020-03-07
2020-03-08,5,39,0,3,0,0,2020-03-08
2020-03-09,9,48,0,3,0,0,2020-03-09
2020-03-10,15,63,1,4,0,0,2020-03-10
2020-03-11,8,71,0,4,0,0,2020-03-11
2020-03-12,10,81,0,4,1,1,2020-03-12
2020-03-13,10,91,6,10,0,1,2020-03-13
2020-03-14,11,102,0,10,1,2,2020-03-14
2020-03-15,10,112,3,13,0,2,2020-03-15
2020-03-16,14,126,1,14,0,2,2020-03-16
2020-03-17,20,146,1,15,1,3,2020-03-17
2020-03-18,25,171,0,15,0,3,2020-03-18
2020-03-19,27,198,5,20,1,4,2020-03-19
2020-03-20,58,256,3,23,0,4,2020-03-20
2020-03-21,78,334,0,23,0,4,2020-03-21
2020-03-22,69,403,0,23,3,7,2020-03-22
2020-03-23,94,497,2,25,2,9,2020-03-23
2020-03-24,74,571,15,40,1,10,2020-03-24
2020-03-25,86,657,3,43,1,11,2020-03-25
2020-03-26,73,730,7,50,5,16,2020-03-26
2020-03-27,153,883,25,75,3,19,2020-03-27
2020-03-28,136,1019,10,85,5,24,2020-03-28
2020-03-29,120,1139,17,102,3,27,2020-03-29
2020-03-30,187,1326,35,137,14,41,2020-03-30
2020-03-31,309,1635,13,150,6,47,2020-03-31
2020-04-01,424,2059,19,169,6,53,2020-04-01
2020-04-02,486,2545,22,191,16,69,2020-04-02
2020-04-03,560,3105,39,230,14,83,2020-04-03
2020-04-04,579,3684,56,286,13,96,2020-04-04
2020-04-05,609,4293,43,329,22,118,2020-04-05
2020-04-06,484,4777,65,394,16,134,2020-04-06
2020-04-07,573,5350,75,469,27,161,2020-04-07
2020-04-08,565,5915,96,565,20,181,2020-04-08
2020-04-09,813,6728,70,635,46,227,2020-04-09
2020-04-10,871,7599,151,786,22,249,2020-04-10
2020-04-11,854,8453,186,972,41,290,2020-04-11
2020-04-12,758,9211,114,1086,42,332,2020-04-12
2020-04-13,1243,10454,112,1198,27,359,2020-04-13
2020-04-14,1031,11485,167,1365,37,396,2020-04-14
2020-04-15,886,12371,144,1509,27,423,2020-04-15
2020-04-16,1061,13432,258,1767,26,449,2020-04-16
2020-04-17,922,14354,273,2040,38,487,2020-04-17
2020-04-18,1371,15725,426,2466,35,522,2020-04-18
2020-04-19,1580,17305,388,2854,38,560,2020-04-19
2020-04-20,1239,18544,419,3273,33,593,2020-04-20
2020-04-21,1537,20081,703,3976,53,646,2020-04-21
2020-04-22,1292,21373,394,4370,36,682,2020-04-22
2020-04-23,1667,23040,642,5012,40,722,2020-04-23
2020-04-24,1408,24448,484,5496,59,781,2020-04-24
2020-04-25,1835,26283,442,5938,44,825,2020-04-25
2020-04-26,1607,27890,585,6523,56,881,2020-04-26
2020-04-27,1568,29458,580,7103,58,939,2020-04-27
2020-04-28,1902,31360,636,7739,69,1008,2020-04-28
2020-04-29,1705,33065,690,8429,71,1079,2020-04-29
2020-04-30,1801,34866,630,9059,75,1154,2020-04-30
2020-05-01,2396,37262,962,10021,77,1231,2020-05-01
2020-05-02,2564,39826,831,10852,92,1323,2020-05-02
2020-05-03,2952,42778,911,11763,140,1463,2020-05-03
2020-05-04,3656,46434,1082,12845,103,1566,2020-05-04
2020-05-05,2971,49405,1295,14140,128,1694,2020-05-05
2020-05-06,3602,53007,1161,15301,91,1785,2020-05-06
2020-05-07,3344,56351,1475,16776,104,1889,2020-05-07
2020-05-08,3339,59690,1111,17887,97,1986,2020-05-08
2020-05-09,3175,62865,1414,19301,115,2101,2020-05-09
2020-05-10,4311,67176,1669,20970,112,2213,2020-05-10
2020-05-11,3592,70768,1579,22549,81,2294,2020-05-11
2020-05-12,3562,74330,1905,24454,120,2414,2020-05-12
2020-05-13,3726,78056,1963,26417,137,2551,2020-05-13
2020-05-14,3991,82047,1594,28011,97,2648,2020-05-14
2020-05-15,3808,85855,2234,30245,104,2752,2020-05-15
2020-05-16,4794,90649,4012,34257,120,2872,2020-05-16
2020-05-17,5049,95698,2538,36795,152,3024,2020-05-17
2020-05-18,4628,100326,2482,39277,131,3155,2020-05-18
2020-05-19,6154,106480,3032,42309,146,3301,2020-05-19
2020-05-20,5720,112200,3113,45422,134,3435,2020-05-20
2020-05-21,6023,118223,3131,48553,148,3583,2020-05-21
2020-05-22,6536,124759,3280,51833,142,3725,2020-05-22
2020-05-23,6667,131424,2576,54409,142,3867,2020-05-23
2020-05-24,7111,138537,3285,57694,156,4023,2020-05-24
2020-05-25,6414,144951,3012,60706,150,4173,2020-05-25
2020-05-26,5907,150858,3585,64291,173,4346,2020-05-26
2020-05-27,7246,158104,3434,67725,188,4534,2020-05-27
2020-05-28,7254,165358,3171,70896,176,4710,2020-05-28
2020-05-29,8138,173496,11735,82631,269,4979,2020-05-29
2020-05-30,8364,181860,4303,86934,205,5184,2020-05-30
2020-05-31,8789,190649,4928,91862,222,5406,2020-05-31
2020-06-01,7723,198372,3882,95744,201,5607,2020-06-01
2020-06-02,8812,207187,4531,100275,222,5829,2020-06-02
2020-06-03,9689,216876,3789,104064,259,6088,2020-06-03
2020-06-04,9847,226723,4390,108454,274,6362,2020-06-04
2020-06-05,9472,236195,4770,113224,286,6648,2020-06-05
2020-06-06,10408,246603,5433,118657,297,6945,2020-06-06
2020-06-07,10882,257485,5191,123848,261,7206,2020-06-07
2020-06-08,8536,266021,5171,129019,271,7477,2020-06-08
2020-06-09,9981,276002,5634,134653,272,7749,2020-06-09
2020-06-10,11156,287158,6275,140928,358,8107,2020-06-10
2020-06-11,11135,298293,6044,146972,394,8501,2020-06-11
2020-06-12,11306,309599,7263,154235,388,8889,2020-06-12
2020-06-13,12039,321638,8092,162327,309,9198,2020-06-13
2020-06-14,11405,333043,7358,169685,324,9522,2020-06-14
2020-06-15,10032,343075,10639,180324,396,9918,2020-06-15
2020-06-16,11086,354161,7226,187550,2004,11922,2020-06-16
2020-06-17,13108,367269,6890,194440,341,12263,2020-06-17
2020-06-18,13829,381098,10741,205181,343,12606,2020-06-18
2020-06-19,14740,395838,9029,214210,364,12970,2020-06-19
2020-06-20,15918,411753,13974,228184,308,13278,2020-06-20
2020-06-21,15151,426904,9075,237259,426,13704,2020-06-21
2020-06-22,13560,440464,10879,248138,312,14016,2020-06-22
2020-06-23,15656,456120,10462,258600,468,14484,2020-06-23
2020-06-24,16868,472988,13089,271689,424,14908,2020-06-24
2020-06-25,18205,491193,13983,285672,401,15309,2020-06-25
2020-06-26,18255,509448,10246,295918,381,15690,2020-06-26
2020-06-27,20142,529590,14229,310147,414,16104,2020-06-27
2020-06-28,19610,549200,11631,321778,384,16488,2020-06-28
2020-06-29,18339,567539,13497,335275,417,16905,2020-06-29
2020-06-30,18256,585795,12565,347840,506,17411,2020-06-30
2020-07-01,19429,605224,12064,359904,438,17849,2020-07-01
2020-07-02,21947,627171,19999,379903,378,18227,2020-07-02
2020-07-03,22718,649889,14417,394320,444,18671,2020-07-03
2020-07-04,24018,673907,14746,409066,611,19282,2020-07-04
2020-07-05,23942,697849,15829,424895,421,19703,2020-07-05
2020-07-06,22500,720349,15315,440210,473,20176,2020-07-06
2020-07-07,23147,743496,16836,457046,479,20655,2020-07-07
2020-07-08,25561,769057,19508,476554,492,21147,2020-07-08
2020-07-09,25790,794847,19408,495962,479,21626,2020-07-09
2020-07-10,27762,822609,20289,516251,520,22146,2020-07-10
2020-07-11,27757,850366,19981,536232,543,22689,2020-07-11
2020-07-12,29106,879472,18198,554430,500,23189,2020-07-12
2020-07-13,28178,907650,17683,572113,541,23730,2020-07-13
2020-07-14,29917,937567,20977,593090,587,24317,2020-07-14
2020-07-15,32607,970174,20646,613736,614,24931,2020-07-15
2020-07-16,35468,1005642,22867,636603,680,25611,2020-07-16
2020-07-17,34820,1040462,17476,654079,676,26287,2020-07-17
2020-07-18,37411,1077873,23583,677662,543,26830,2020-07-18
2020-07-19,40235,1118108,22730,700392,675,27505,2020-07-19
2020-07-20,36806,1154914,24303,724695,596,28101,2020-07-20
2020-07-21,39170,1194084,27589,752284,671,28772,2020-07-21
2020-07-22,45601,1239685,31875,784159,1130,29902,2020-07-22
2020-07-23,48443,1288128,33326,817485,755,30657,2020-07-23
2020-07-24,48888,1337016,32514,849999,763,31420,2020-07-24
2020-07-25,50072,1387088,37125,887124,703,32123,2020-07-25
2020-07-26,48932,1436020,31512,918636,704,32827,2020-07-26
2020-07-27,46484,1482504,34354,952990,642,33469,2020-07-27
2020-07-28,49631,1532135,35683,988673,774,34243,2020-07-28
2020-07-29,52479,1584614,32886,1021559,775,35018,2020-07-29
2020-07-30,54968,1639582,37425,1058984,784,35802,2020-07-30
2020-07-31,57486,1697068,36554,1095538,764,36566,2020-07-31
2020-08-01,55117,1752185,51368,1146906,854,37420,2020-08-01
2020-08-02,52672,1804857,40355,1187261,760,38180,2020-08-02
2020-08-03,50488,1855345,43070,1230331,806,38986,2020-08-03
2020-08-04,51282,1906627,51220,1281551,849,39835,2020-08-04
2020-08-05,56626,1963253,45583,1327134,919,40754,2020-08-05
2020-08-06,62170,2025423,50141,1377275,899,41653,2020-08-06
2020-08-07,61455,2086878,50387,1427662,936,42589,2020-08-07
2020-08-08,65156,2152034,52135,1479797,875,43464,2020-08-08
2020-08-09,62117,2214151,54474,1534271,1013,44477,2020-08-09
2020-08-10,53016,2267167,47362,1581633,887,45364,2020-08-10
2020-08-11,61252,2328419,56461,1638094,835,46199,2020-08-11
2020-08-12,67066,2395485,57759,1695853,950,47149,2020-08-12
2020-08-13,64141,2459626,54776,1750629,1006,48155,2020-08-13
2020-08-14,65610,2525236,56920,1807549,989,49144,2020-08-14
2020-08-15,63986,2589222,53116,1860665,952,50096,2020-08-15
2020-08-16,58096,2647318,57404,1918069,952,51048,2020-08-16
2020-08-17,54298,2701616,58172,1976241,880,51928,2020-08-17
2020-08-18,65024,2766640,60455,2036696,1099,53027,2020-08-18
2020-08-19,69196,2835836,59365,2096061,979,54006,2020-08-19
2020-08-20,68518,2904354,61873,2157934,981,54987,2020-08-20
2020-08-21,69029,2973383,62858,2220792,953,55940,2020-08-21
2020-08-22,70067,3043450,59101,2279893,918,56858,2020-08-22
2020-08-23,61749,3105199,56896,2336789,846,57704,2020-08-23
2020-08-24,59696,3164895,66305,2403094,854,58558,2020-08-24
2020-08-25,66873,3231768,64151,2467245,1066,59624,2020-08-25
2020-08-26,75995,3307763,56191,2523436,1017,60641,2020-08-26
2020-08-27,76827,3384590,59620,2583056,1066,61707,2020-08-27
2020-08-28,76657,3461247,64475,2647531,1019,62726,2020-08-28
2020-08-29,78479,3539726,64982,2712513,943,63669,2020-08-29
2020-08-30,79461,3619187,60422,2772935,960,64629,2020-08-30
2020-08-31,68766,3687953,64435,2837370,816,65445,2020-08-31
2020-09-01,78168,3766121,62145,2899515,892,66337,2020-09-01
2020-09-02,82860,3848981,67874,2967389,913,67250,2020-09-02
2020-09-03,84156,3933137,67491,3034880,979,68229,2020-09-03
2020-09-04,87115,4020252,69625,3104505,950,69179,2020-09-04
2020-09-05,90600,4110852,73161,3177666,916,70095,2020-09-05
2020-09-06,91725,4202577,69630,3247296,1005,71100,2020-09-06
2020-09-07,75015,4277592,74116,3321412,1129,72229,2020-09-07
2020-09-08,89855,4367447,74608,3396020,1107,73336,2020-09-08
2020-09-09,95536,4462983,73062,3469082,1168,74504,2020-09-09
2020-09-10,96762,4559745,70904,3539986,1213,75717,2020-09-10
2020-09-11,97655,4657400,81456,3621442,1202,76919,2020-09-11
2020-09-12,94414,4751814,77862,3699304,1111,78030,2020-09-12
2020-09-13,93220,4845034,77748,3777052,1140,79170,2020-09-13
2020-09-14,81913,4926947,79213,3856265,1054,80224,2020-09-14
2020-09-15,91098,5018045,82849,3939114,1281,81505,2020-09-15
2020-09-16,97860,5115905,82924,4022038,1140,82645,2020-09-16
2020-09-17,96787,5212692,87788,4109826,1175,83820,2020-09-17
2020-09-18,92973,5305665,95515,4205341,1221,85041,2020-09-18
2020-09-19,92574,5398239,94389,4299730,1149,86190,2020-09-19
2020-09-20,87395,5485634,92926,4392656,1135,87325,2020-09-20
2020-09-21,74493,5560127,102070,4494726,1056,88381,2020-09-21
2020-09-22,83362,5643489,89657,4584383,1085,89466,2020-09-22
2020-09-23,86703,5730192,87459,4671842,1123,90589,2020-09-23
2020-09-24,85921,5816113,81142,4752984,1144,91733,2020-09-24
2020-09-25,85717,5901830,93331,4846315,1093,92826,2020-09-25
2020-09-26,88759,5990589,92365,4938680,1124,93950,2020-09-26
2020-09-27,82770,6073359,74691,5013371,1040,94990,2020-09-27
2020-09-28,69669,6143028,85198,5098569,775,95765,2020-09-28
2020-09-29,80500,6223528,86150,5184719,1178,96943,2020-09-29
2020-09-30,86748,6310276,85274,5269993,1179,98122,2020-09-30
2020-10-01,81784,6392060,78731,5348724,1099,99221,2020-10-01
2020-10-02,79883,6471943,76339,5425063,1068,100289,2020-10-02
2020-10-03,75479,6547422,81655,5506718,937,101226,2020-10-03
2020-10-04,74770,6622192,76713,5583431,903,102129,2020-10-04
2020-10-05,60130,6682322,75855,5659286,886,103015,2020-10-05
2020-10-06,71869,6754191,81945,5741231,990,104005,2020-10-06
2020-10-07,78809,6833000,83209,5824440,963,104968,2020-10-07
2020-10-08,70797,6903797,78745,5903185,967,105935,2020-10-08
2020-10-09,73305,6977102,82628,5985813,929,106864,2020-10-09
2020-10-10,74418,7051520,89024,6074837,921,107785,2020-10-10
2020-10-11,67789,7119309,71565,6146402,813,108598,2020-10-11
2020-10-12,54262,7173571,78365,6224767,710,109308,2020-10-12
2020-10-13,63717,7237288,74079,6298846,727,110035,2020-10-13
2020-10-14,67811,7305099,81582,6380428,690,110725,2020-10-14
2020-10-15,63441,7368540,70792,6451220,882,111607,2020-10-15
2020-10-16,62304,7430844,70568,6521788,840,112447,2020-10-16
2020-10-17,61893,7492737,72583,6594371,1032,113479,2020-10-17
2020-10-18,56519,7549256,66418,6660789,582,114061,2020-10-18
2020-10-19,45506,7594762,69800,6730589,589,114650,2020-10-19
2020-10-20,54348,7649110,61828,6792417,714,115364,2020-10-20
2020-10-21,56264,7705374,79561,6871978,701,116065,2020-10-21
2020-10-22,54371,7759745,74569,6946547,686,116751,2020-10-22
2020-10-23,53931,7813676,66994,7013541,655,117406,2020-10-23
2020-10-24,50366,7864042,62270,7075811,578,117984,2020-10-24
2020-10-25,45922,7909964,59304,7135115,483,118467,2020-10-25
2020-10-26,36019,7945983,63734,7198849,485,118952,2020-10-26
2020-10-27,43036,7989019,58429,7257278,511,119463,2020-10-27
2020-10-28,50188,8039207,56594,7313872,515,119978,2020-10-28
2020-10-29,48765,8087972,57867,7371739,562,120540,2020-10-29
2020-10-30,48117,8136089,59005,7430744,550,121090,2020-10-30
2020-10-31,47228,8183317,58682,7489426,469,121559,2020-10-31
2020-11-01,45928,8229245,53312,7542738,491,122050,2020-11-01
2020-11-02,37592,8266837,58524,7601262,498,122548,2020-11-02
2020-11-03,46027,8312864,53328,7654590,510,123058,2020-11-03
2020-11-04,50465,8363329,55873,7710463,707,123765,2020-11-04
2020-11-05,47628,8410957,54133,7764596,672,124437,2020-11-05
2020-11-06,50017,8460974,53946,7818542,577,125014,2020-11-06
2020-11-07,46153,8507127,48582,7867124,557,125571,2020-11-07
2020-11-08,46707,8553834,48465,7915589,491,126062,2020-11-08
2020-11-09,37119,8590953,41449,7957038,450,126512,2020-11-09
2020-11-10,44724,8635677,54639,8011677,511,127023,2020-11-10
2020-11-11,48285,8683962,52704,8064381,550,127573,2020-11-11
2020-11-12,44585,8728547,49354,8113735,544,128117,2020-11-12
2020-11-13,44620,8773167,47620,8161355,517,128634,2020-11-13
2020-11-14,41692,8814859,42317,8203672,450,129084,2020-11-14
2020-11-15,30681,8845540,44111,8247783,434,129518,2020-11-15
2020-11-16,28609,8874149,40392,8288175,451,129969,2020-11-16
2020-11-17,38548,8912697,44753,8332928,472,130441,2020-11-17
2020-11-18,45366,8958063,48675,8381603,586,131027,2020-11-18
2020-11-19,46185,9004248,45246,8426849,582,131609,2020-11-19
2020-11-20,46283,9050531,48968,8475817,564,132173,2020-11-20
2020-11-21,45301,9095832,44055,8519872,499,132672,2020-11-21
2020-11-22,44404,9140236,41405,8561277,510,133182,2020-11-22
2020-11-23,37441,9177677,42195,8603472,481,133663,2020-11-23
2020-11-24,44245,9221922,37765,8641237,489,134152,2020-11-24
2020-11-25,44699,9266621,36582,8677819,518,134670,2020-11-25
2020-11-26,43174,9309795,39723,8717542,491,135161,2020-11-26
2020-11-27,41353,9351148,41177,8758719,486,135647,2020-11-27
2020-11-28,41815,9392963,42275,8800994,495,136142,2020-11-28
2020-11-29,39036,9431999,45152,8846146,444,136586,2020-11-29
2020-11-30,31179,9463178,42282,8888428,482,137068,2020-11-30
2020-12-01,36474,9499652,43208,8931636,501,137569,2020-12-01
2020-12-02,35506,9535158,40908,8972544,526,138095,2020-12-02
2020-12-03,36574,9571732,42991,9015535,541,138636,2020-12-03
2020-12-04,36711,9608443,42359,9057894,511,139147,2020-12-04
2020-12-05,36010,9644453,41885,9099779,482,139629,2020-12-05
2020-12-06,33178,9677631,39078,9138857,390,140019,2020-12-06
2020-12-07,26227,9703858,39293,9178150,386,140405,2020-12-07
2020-12-08,32083,9735941,36583,9214733,402,140807,2020-12-08
2020-12-09,31637,9767578,37693,9252426,413,141220,2020-12-09
2020-12-10,29411,9796989,37707,9290133,411,141631,2020-12-10
2020-12-11,29961,9826950,33492,9323625,442,142073,2020-12-11
2020-12-12,30354,9857304,33087,9356712,391,142464,2020-12-12
2020-12-13,27336,9884640,30640,9387352,338,142802,2020-12-13
2020-12-14,21941,9906581,34421,9421773,354,143156,2020-12-14
2020-12-15,26251,9932832,33853,9455626,384,143540,2020-12-15
2020-12-16,18172,9951004,33360,9488986,356,143896,2020-12-16
2020-12-17,26754,9977758,30891,9519877,342,144238,2020-12-17
2020-12-18,26991,10004749,29879,9549756,342,144580,2020-12-18
2020-12-19,26834,10031583,29758,9579514,342,144922,2020-12-19
2020-12-20,24622,10056205,25734,9605248,332,145254,2020-12-20
2020-12-21,19147,10075352,30250,9635498,302,145556,2020-12-21
2020-12-22,23880,10099232,27032,9662530,329,145885,2020-12-22
2020-12-23,24716,10123948,29946,9692476,315,146200,2020-12-23
2020-12-24,23444,10147392,24555,9717031,337,146537,2020-12-24
2020-12-25,22349,10169741,22184,9739215,251,146788,2020-12-25
2020-12-26,18575,10188316,21466,9760681,280,147068,2020-12-26
2020-12-27,20333,10208649,21097,9781778,281,147349,2020-12-27
2020-12-28,16072,10224721,24822,9806600,250,147599,2020-12-28
2020-12-29,20542,10245263,26589,9833189,285,147884,2020-12-29
2020-12-30,21945,10267208,26407,9859596,299,148183,2020-12-30
2020-12-31,19026,10286234,21969,9881565,244,148427,2020-12-31
2021-01-01,20159,10306393,23838,9905403,237,148664,2021-01-01
2021-01-02,18144,10324537,20903,9926306,216,148880,2021-01-02
2021-01-03,16678,10341215,19658,9945964,215,149095,2021-01-03
2021-01-04,16278,10357493,29209,9975173,200,149295,2021-01-04
2021-01-05,17909,10375402,21161,9996334,265,149560,2021-01-05
2021-01-06,20472,10395874,19689,10016023,222,149782,2021-01-06
2021-01-07,18123,10413997,20503,10036526,233,150015,2021-01-07
2021-01-08,18453,10432450,19242,10055768,229,150244,2021-01-08
2021-01-09,18820,10451270,19460,10075228,213,150457,2021-01-09
2021-01-10,16086,10467356,16737,10091965,150,150607,2021-01-10
2021-01-11,12481,10479837,18578,10110543,166,150773,2021-01-11
